City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,pajok,3.8651,32.4821,18.66,92,38,1.49,SS,1686614278
272,rawson,-43.3002,-65.1023,7.17,50,41,3.61,AR,1686614278
273,ahmadpur,18.7,76.9333,27.38,61,12,5.47,IN,1686614279
274,puerto baquerizo moreno,-0.9,-89.6,26.55,83,40,6.69,EC,1686614279
275,sochi,43.6,39.7303,20.05,88,100,0.34,RU,1686614097
276,polyarnyy,69.1989,33.4478,10.6,80,100,4.91,RU,1686614279
277,qaqortoq,60.7167,-46.0333,6.55,74,100,2.58,GL,1686614280
278,sibolga,1.7427,98.7792,25.1,87,27,1.56,ID,1686614280
279,upata,8.0086,-62.3989,23.15,93,99,1.54,VE,1686614280
280,afaahiti,-17.75,-149.2833,27.93,66,50,8.51,PF,1686614280
281,island harbour,50.724,-1.2758,17.96,92,47,0.45,GB,1686614281
282,nemuro,43.3236,145.575,12.23,97,100,4.93,JP,1686614281
283,ndele,8.4109,20.6473,21.96,94,62,1.82,CF,1686614281
284,sampit,-2.5333,112.95,24.69,94,99,0.97,ID,1686614281
285,iskateley,67.6803,53.1512,7.12,87,70,4.47,RU,1686614282
286,takahashi,34.7833,133.6167,26.14,77,100,0.89,JP,1686614282
287,marka,1.7159,44.7717,25.69,86,98,7.29,SO,1686614282
288,mogocha,53.7333,119.7667,7.72,93,96,4.28,RU,1686614282
289,yelizovo,53.1873,158.3805,22.08,37,0,1.0,RU,1686614283
290,genhe,50.7833,121.5167,23.64,44,100,1.48,CN,1686614283
291,tangalle,6.024,80.7911,26.5,84,99,5.42,LK,1686614283
292,tralee,52.2704,-9.7026,14.09,96,63,1.08,IE,1686614284
293,nagqu,31.5,92.0,5.97,75,100,3.93,CN,1686614284
294,cabedelo,-6.9811,-34.8339,24.37,85,7,5.28,BR,1686614284
295,picos,-7.0769,-41.4669,22.65,71,8,1.02,BR,1686614284
296,fort st. john,56.2499,-120.8529,23.94,35,100,6.69,CA,1686614285
297,yen vinh,18.6667,105.6667,29.01,71,100,2.56,VN,1686614285
298,rikaze,29.25,88.8833,12.44,52,87,2.14,CN,1686614285
299,urengoy,65.9667,78.3667,2.99,70,96,8.11,RU,1686614286
300,mawu,29.5923,107.3139,21.68,77,75,0.3,CN,1686614286
301,justo daract,-33.8594,-65.1828,4.79,36,0,1.49,AR,1686614286
302,lazaro cardenas,17.9583,-102.2,29.76,61,7,5.26,MX,1686614286
303,noumea,-22.2763,166.4572,23.99,99,0,4.1,NC,1686614257
304,kilindoni,-7.9139,39.6668,26.26,63,1,6.24,TZ,1686614287
305,nadym,65.5333,72.5167,1.36,72,55,6.36,RU,1686614231
306,fort bragg,35.139,-79.006,26.57,80,100,3.09,US,1686614288
307,turkan,40.3639,50.215,24.1,73,0,1.03,AZ,1686614288
308,karratha,-20.7377,116.8463,19.06,39,2,8.38,AU,1686614288
309,zahedan,29.4963,60.8629,23.95,23,0,2.06,IR,1686614288
310,arar,30.9753,41.0381,28.01,18,0,5.66,SA,1686614289
311,waingapu,-9.6567,120.2641,25.5,72,21,5.99,ID,1686614289
312,demopolis,32.5176,-87.8364,25.97,69,75,0.0,US,1686614289
313,laojunmiao,39.8333,97.7333,21.03,21,0,3.67,CN,1686614290
314,awjilah,29.1081,21.2869,24.97,51,0,6.7,LY,1686614290
315,cockburn town,21.4612,-71.1419,28.08,84,44,9.46,TC,1686614290
316,bamboo flat,11.7,92.7167,26.05,89,75,3.09,IN,1686614035
317,la passe,45.5549,-0.8967,19.43,91,100,3.11,FR,1686614291
318,najaf,31.9985,44.3398,34.13,19,41,1.91,IQ,1686614291
319,camalu,30.85,-116.0667,18.89,70,1,7.08,MX,1686614291
320,san sebastian de la gomera,28.0916,-17.1133,23.54,83,0,2.57,ES,1686614292
321,hadibu,12.65,54.0333,28.13,79,100,9.37,YE,1686614292
322,bereznik,62.8551,42.7072,14.8,60,100,3.39,RU,1686614292
323,hammamet,36.4,10.6167,21.92,67,64,2.72,TN,1686614292
324,coquimbo,-29.9533,-71.3436,10.85,81,40,2.57,CL,1686614169
325,canutama,-6.5339,-64.3831,26.64,77,98,0.53,BR,1686614293
326,hailin,44.5833,129.4167,19.33,68,9,0.23,CN,1686614293
327,digri,25.1558,69.1113,31.1,61,95,6.45,PK,1686614294
328,pacific grove,36.6177,-121.9166,20.79,76,20,8.75,US,1686614229
329,weno,7.4515,151.8468,29.06,78,81,8.06,FM,1686614294
330,ratnagiri,16.9833,73.3,27.97,81,58,6.98,IN,1686614295
331,madang,-5.2246,145.7966,29.17,74,93,0.61,PG,1686614295
332,hojai,26.0,92.8667,25.16,93,43,0.81,IN,1686614295
333,sierra grande,-41.606,-65.3557,6.61,34,1,1.79,AR,1686614296
334,mejit,10.2753,170.8646,27.98,79,40,8.6,MH,1686614296
335,kolobrzeg,54.1757,15.5834,15.08,52,26,4.7,PL,1686614296
336,san matias,-16.3667,-58.4,13.6,79,100,3.97,BO,1686614296
337,nolinsk,57.5596,49.9363,6.43,77,3,0.48,RU,1686614297
338,yonggwang-up,40.0183,127.4547,19.39,72,100,1.39,KP,1686614297
339,sao sepe,-30.1606,-53.5653,4.55,66,10,2.36,BR,1686614211
340,port said,31.2565,32.2841,22.99,88,0,2.06,EG,1686614298
341,pecos,31.4229,-103.4932,39.58,8,0,5.14,US,1686614157
342,sao vicente,-23.9631,-46.3919,23.1,26,95,0.45,BR,1686614298
343,ketchikan,55.3422,-131.6461,16.26,67,40,6.17,US,1686614167
344,san antonio de pale,-1.4014,5.6325,24.39,90,78,3.32,GQ,1686614299
345,huilong,31.8111,121.655,23.04,83,99,2.64,CN,1686614299
346,necochea,-38.5473,-58.7368,9.39,68,97,4.48,AR,1686614299
347,fada,9.5667,8.3,20.57,94,91,1.16,NG,1686614080
348,ornskoldsvik,63.2909,18.7153,9.53,87,100,2.06,SE,1686614300
349,north bend,43.4065,-124.2243,24.02,77,75,7.2,US,1686614300
350,holualoa,19.6228,-155.9522,25.91,86,40,5.14,US,1686614300
351,tenenkou,14.4572,-4.9169,28.15,57,100,4.93,ML,1686614301
352,anloga,5.7947,0.8973,26.32,70,16,5.57,GH,1686614301
353,lompoc,34.6391,-120.4579,22.08,77,100,4.47,US,1686614160
354,alofi,-19.0595,-169.9187,23.94,94,100,1.03,NU,1686614301
355,launceston,-41.45,147.1667,12.8,89,100,3.09,AU,1686614233
356,santa luzia,-19.7697,-43.8514,22.6,57,0,3.09,BR,1686614302
357,gwadar,25.1216,62.3254,29.51,72,100,1.45,PK,1686614302
358,tofol,5.3248,163.0078,28.88,74,100,5.14,FM,1686614302
359,opuwo,-18.0607,13.84,11.96,16,10,2.61,NA,1686614303
360,lander,42.833,-108.7307,18.95,82,100,3.09,US,1686614166
361,manggar,-2.8833,108.2667,28.06,82,75,6.43,ID,1686614303
362,kralendijk,12.15,-68.2667,28.99,74,40,7.72,BQ,1686614030
363,alta,69.9689,23.2717,10.59,59,100,7.2,NO,1686614304
364,kidal,18.4411,1.4078,31.64,36,27,2.34,ML,1686614304
365,chibougamau,49.9168,-74.3659,24.79,36,0,3.09,CA,1686614304
